keys,pt-BR
MAIN_THRESHOLD_LABEL,Limiar
MAIN_THRESHOLD_TOOLTIP,Volume de corte para as reações do avatar
MAIN_LOUDNESS_LABEL,Volume
MAIN_LOUDNESS_TOOLTIP,Ganho do microfone
MAIN_PROFILE_PLACEHOLDER,[Nome do Perfil]
MAIN_INPUT_DEVICE_LABEL,Dispositivo de Entrada
MAIN_NEW_SCREEN_OBJECT_LABEL,Criar um novo objeto de tela
MAIN_SHOW_MENU_LABEL,Pressione qualquer tecla para abrir este menu novamente
MAIN_SYSTEM_SETTINGS_LABEL,Configurações do Sistema
MAIN_HIDE_MENU_BUTTON,Esconder Menu
SETTINGS_BACK_BUTTON,Voltar
SETTINGS_FULLSCREEN_BUTTON,Tela Cheia
SETTINGS_SAVE_BUTTON,Salvar Dados
SETTINGS_LOAD_BUTTON,Carregar Dados
SETTINGS_TRANSPARENT_BACKGROUND_LABEL,Fundo Transparente
SETTINGS_BACKGROUND_COLOR_LABEL,Cor de Fundo
SETTINGS_WINDOW_SIZE_LABEL,Tamanho de Janela Fixo
SETTINGS_WINDOW_SIZE_TOOLTIP,Bloqueia o tamanho da janela para evitar redimensionamento indesejado
SETTINGS_WINDOW_SIZE_WIDTH_LABEL,Largura
SETTINGS_WINDOW_SIZE_HEIGHT_LABEL,Altura
SETTINGS_CURRENT_FPS_LABEL,FPS Atual:
SETTINGS_FPS_CAP_LABEL,Limite de FPS
SETTINGS_MAX_FPS_LABEL,FPS: 
SETTINGS_LANGUAGE_LABEL,Idioma
SETTINGS_LANGUAGE_DEFAULT_LABEL,Padrão
SETTINGS_VERSION_LABEL,Versão:
SETTINGS_QUIT_BUTTON,Sair
SETTINGS_CURRENT_FPS_LABEL,FPS Atual:
SO_MENU_MOVE_UP_TOOLTIP,Mover para cima na lista
SO_MENU_MOVE_DOWN_TOOLTIP,Mover para baixo na lista
SO_MENU_NAME_PLACEHOLDER,Nome
SO_MENU_SETTINGS_TOOLTIP,Configurações
SO_MENU_VISIBILITY_TOOLTIP,Mostrar/esconder objeto
SO_MENU_AUTO_TOGGLE_TOOLTIP,Alterna a visibilidade do objeto quando o tempo acaba
SO_MENU_DUPLICATE_TOOLTIP,Duplicar
SO_MENU_GIZMO_TOOLTIP,"Mover, escalar, rotacionar"
SO_MENU_RECENTER_TOOLTIP,Centralizar novamente
SO_MENU_DELETE_TOOLTIP,Excluir
SO_SETTINGS_IMAGE_TAB,Imagem
SO_SETTINGS_COLOR_TAB,Cor
SO_SETTINGS_ANIMATION_TAB,Animação
SO_SETTINGS_MISC_TAB,Diversos
SO_SETTINGS_MULTI_IMAGE_LABEL,Imagem Combinada do Avatar
SO_SETTINGS_MULTI_IMAGE_TOOLTIP,Sprite sheet em uma única imagem
SO_SETTINGS_AVATAR_IMAGE_LABEL,Avatar
SO_SETTINGS_AVATAR_IMAGE_TOOLTIP,Sprite sheet tem textura de fala
SO_SETTINGS_CHANGE_IMAGE_BUTTON,Alterar Imagem
SO_SETTINGS_NEUTRAL_IMAGE_LABEL,Imagem Neutra
SO_SETTINGS_NEUTRAL_IMAGE_TOOLTIP,Sprite sheet tem textura de fala
SO_SETTINGS_BLINKING_IMAGE_LABEL,Imagem Piscando
SO_SETTINGS_BLINKING_IMAGE_TOOLTIP,Sprite sheet tem textura de piscar
SO_SETTINGS_TALKING_IMAGE_LABEL,Imagem Falando
SO_SETTINGS_TALKING_IMAGE_TOOLTIP,Sprite sheet tem textura de fala
SO_SETTINGS_TALKING_BLINKING_IMAGE_LABEL,Imagem Falando + Piscando
SO_SETTINGS_TALKING_BLINKING_IMAGE_TOOLTIP,Sprite sheet tem textura de fala + piscar
SO_SETTINGS_TALKING_TOGGLE_LABEL,Possui Textura de Fala
SO_SETTINGS_TALKING_TOGGLE_TOOLTIP,Sprite sheet tem textura de fala
SO_SETTINGS_BLINKING_TOGGLE_LABEL,Possui Textura de Piscar
SO_SETTINGS_BLINKING_TOGGLE_TOOLTIP,Sprite sheet tem textura de piscar
SO_SETTINGS_FILTER_TOGGLE_LABEL,Filtro Linear
SO_SETTINGS_FILTER_TOGGLE_TOOLTIP,Reduz bordas serrilhadas
SO_SETTINGS_HUE_SLIDER_LABEL,Matiz
SO_SETTINGS_SATURATION_SLIDER_LABEL,Saturação
SO_SETTINGS_VALUE_SLIDER_LABEL,Valor
SO_SETTINGS_ANIMATION_TOGGLE_LABEL,Animar Objeto
SO_SETTINGS_ANIMATION_TOGGLE_TOOLTIP,Salta na atividade de voz
SO_SETTINGS_ANIMATION_SINGLE_BOUNCE_LABEL,Salto Único
SO_SETTINGS_ANIMATION_SINGLE_BOUNCE_LABEL_TOOLTIP,Salta uma vez na atividade de voz
SO_SETTINGS_ANIMATION_HEIGHT_LABEL,Altura
SO_SETTINGS_ANIMATION_SPEED_LABEL,Velocidade
SO_SETTINGS_ANIMATION_BLINK_SPEED_LABEL,Controles de Velocidade de Piscar
SO_SETTINGS_ANIMATION_BLINK_DURATION_TOOLTIP,Duração do Piscar (decisegundos)
SO_SETTINGS_ANIMATION_MAX_INTERVAL_TOOLTIP,Intervalo Máximo de Piscar (segundos)
SO_SETTINGS_ANIMATION_MIN_INTERVAL_TOOLTIP,Intervalo Mínimo de Piscar (segundos)
SO_SETTINGS_ANIMATION_BLINK_MIN_INTERVAL_LABEL,Intervalo Mínimo\nde Piscar (segundos)
SO_SETTINGS_ANIMATION_BLINK_MAX_INTERVAL_LABEL,Intervalo Máximo\nde Piscar (segundos)
SO_SETTINGS_ANIMATION_BLINK_DURATION_LABEL,Duração do Piscar\n(decisegundos)
SO_SETTINGS_TIMER_TOGGLE_LABEL,Alternar Temporizador
SO_SETTINGS_TIMER_TOGGLE_TOOLTIP,Ativa o Alternador Automático
SO_SETTINGS_TIMER_DURATION_LABEL,Tempo (Segundos)
SO_SETTINGS_TIMER_DURATION_TOOLTIP,Duração do temporizador em segundos
